1-1 2.68038
2-1 1.78877
3-1 2.5662
4-1 2.59688
5-1 2.82329
6-1 1.3951
7-1 1.67045
1-1 2.53646
2-1 1.55555
3-1 2.10794
4-1 1.95479
5-1 2.25774
6-1 1.72957
7-1 2.0268
1-1 2.90446
2-1 2.83239
3-1 2.27142
4-1 2.43459
5-1 1.28321
6-1 2.21394
7-1 1.0326
1-1 1.48577
2-1 1.27446
3-1 2.60835
4-1 1.31336
5-1 1.80189
6-1 1.25958
7-1 1.21762
1-1 2.99785
2-1 1.43651
3-2 2.02586
4-2 2.67822
5-2 2.22528
6-2 1.59206
7-2 2.2751
1-2 2.04857
2-2 1.98717
3-2 2.94555
4-2 1.58503
5-2 2.54272
6-2 2.05349
7-2 2.53983
1-2 1.80046
2-2 2.78306
3-2 1.56663
4-2 1.70492
5-2 2.61545
6-2 2.83805
7-2 1.13951
1-2 2.89865
2-2 2.05199
3-2 1.17211
4-2 1.38443
5-2 2.32645
6-2 2.78047
7-2 1.69779
1-2 1.12834
2-2 1.04005
3-2 1.9154
4-2 1.12619
5-3 1.47656
6-3 2.94127
7-3 2.80442
1-3 2.70184
2-3 1.53333
3-3 2.07952
4-3 1.75041
5-3 2.5205
6-3 2.02507
7-3 2.33545
1-3 2.06321
2-3 1.07856
3-3 1.87528
4-3 2.86367
5-3 2.86162
6-3 2.4419
7-3 1.56859
1-3 2.47707
2-3 2.27996
3-3 1.7081
4-3 2.37572
5-3 1.33195
6-3 1.88021
7-3 2.76015
1-3 2.6584
2-3 1.66067
3-3 1.45794
4-3 2.78674
5-3 1.70072
6-3 2.37334
7-4 2.91294
1-4 2.17728
2-4 2.31461
3-4 2.71735
4-4 1.87912
5-4 2.84794
6-4 1.79687
7-4 2.62953
1-4 2.36844
2-4 2.82194
3-4 1.96498
4-4 1.43165
5-4 2.9005
6-4 2.84026
7-4 1.29532
1-4 2.76212
2-4 2.28216
3-4 1.86391
4-4 2.23919
5-4 1.56212
6-4 2.572
7-4 1.61492
1-4 1.89407
2-4 1.45221
3-4 1.37507
4-4 1.55247
5-4 2.11289
6-4 1.833
7-4 1.33921
1-4 2.81361
2-5 1.20634
3-5 1.25215
4-5 1.99089
5-5 2.52095
6-5 2.9695
7-5 2.87001
1-5 2.36889
2-5 1.76638
3-5 2.49954
4-5 1.73733
5-5 1.58832
6-5 1.46452
7-5 2.16898
1-5 1.48883
2-5 1.30478
3-5 2.4643
4-5 1.25095
5-5 2.58694
6-5 1.3282
7-5 2.49014
1-5 1.14906
2-5 2.90021
3-5 1.10506
4-5 2.04313
5-5 1.35242
6-5 1.48012
7-5 2.5956
1-5 2.46531
2-5 2.31313
3-5 2.93481
4-6 2.27892
5-6 2.51947
6-6 1.18696
7-6 1.2698
1-6 2.04042
2-6 1.15646
3-6 1.13981
4-6 1.40931
5-6 1.92284
6-6 2.63935
7-6 2.14664
1-6 2.51116
2-6 1.10388
3-6 1.31561
4-6 2.99999
5-6 1.40866
6-6 2.77991
7-6 1.25094
1-6 2.9956
2-6 1.10812
3-6 2.74108
4-6 1.14466
5-6 1.00832
6-6 2.84614
7-6 2.18778
1-6 1.36074
2-6 1.32626
3-6 1.78338
4-6 2.82605
5-6 2.63939
6-7 1.71819
7-7 2.10497
1-7 2.15886
2-7 1.90515
3-7 2.37477
4-7 1.19928
5-7 2.06162
6-7 2.51459
7-7 1.60859
1-7 2.98446
2-7 2.15394
3-7 2.75523
4-7 2.49562
5-7 2.25782
6-7 1.07084
7-7 2.49561
1-7 2.66648
2-7 2.85075
3-7 2.74654
4-7 2.66208
5-7 2.95887
6-7 2.48762
7-7 2.80673
1-7 2.96719
2-7 2.33376
3-7 1.99452
4-7 1.32794
5-7 2.66002
6-7 2.7779
7-7 1.15399
1-8 2.29941
2-8 1.49609
3-8 2.25896
4-8 1.45827
5-8 2.40124
6-8 1.63373
7-8 1.65755
1-8 1.46286
2-8 1.14832
3-8 2.26614
4-8 1.44731
5-8 2.30226
6-8 2.02137
7-8 2.94293
1-8 1.56008
2-8 2.09221
3-8 2.43854
4-8 1.22656
5-8 1.94297
6-8 2.18508
7-8 2.88864
1-8 1.90184
2-8 1.6727
3-8 2.69537
4-8 1.86903
5-8 1.00646
6-8 1.68989
7-8 2.19696
1-8 2.66649
2-8 1.46778
3-9 2.35095
4-9 1.9659
5-9 1.96387
6-9 1.60991
7-9 2.42417
1-9 1.36511
2-9 2.24365
3-9 1.08173
4-9 1.82797
5-9 2.39197
6-9 2.34787
7-9 2.27528
1-9 1.69423
2-9 1.36924
3-9 2.21821
4-9 2.25432
5-9 2.46146
6-9 1.65675
7-9 2.48088
1-9 1.40443
2-9 2.84183
3-9 2.36951
4-9 2.30626
5-9 1.51453
6-9 2.06488
7-9 1.17529
1-9 1.52099
2-9 2.75477
3-9 2.37225
4-9 1.18748
5-10 1.22255
6-10 1.7232
7-10 2.15338
1-10 2.18642
2-10 2.33311
3-10 1.57756
4-10 2.55153
5-10 1.57676
6-10 1.65928
7-10 1.3795
1-10 2.96873
2-10 1.00716
3-10 2.65478
4-10 1.66296
5-10 1.3764
6-10 1.87299
7-10 2.91727
1-10 2.83786
2-10 2.52974
3-10 2.39815
4-10 1.24229
5-10 2.37157
6-10 1.76766
7-10 2.54855
1-10 2.8861
2-10 2.83255
3-10 2.72383
4-10 1.4071
5-10 2.58731
6-10 2.09608
7-11 1.59458
1-11 2.80986
2-11 2.81929
3-11 2.74796
4-11 1.99629
5-11 2.1524
6-11 1.32551
7-11 1.54782
1-11 2.72916
2-11 1.9848
3-11 1.92732
4-11 2.69788
5-11 1.99195
6-11 1.58211
7-11 1.36084
1-11 2.36836
2-11 2.4551
3-11 1.27812
4-11 2.20622
5-11 1.98484
6-11 2.67627
7-11 2.4485
1-11 1.35642
2-11 1.44393
3-11 1.99705
4-11 1.24252
5-11 1.27648
6-11 1.72089
7-11 1.64961
1-11 2.86379
2-12 2.81697
3-12 2.24419
4-12 2.67366
5-12 2.63626
6-12 1.99215
7-12 1.66994
1-12 1.78865
2-12 2.31766
3-12 2.21777
4-12 1.51781
5-12 1.30246
6-12 1.14509
7-12 1.2157
1-12 2.29441
2-12 1.7272
3-12 1.57654
4-12 1.66277
5-12 1.1823
6-12 1.85466
7-12 2.86899
1-12 2.16714
2-12 1.53092
3-12 2.31749
4-12 2.52356
5-12 1.97485
6-12 1.31454
7-12 2.76607
1-12 2.25133
2-12 2.03543
3-12 1.41569
